year,city,country,avg_temp,movingavg_15y
1750,New York,United States,10.07,
1751,New York,United States,10.79,
1752,New York,United States,2.81,
1753,New York,United States,9.52,
1754,New York,United States,9.88,
1755,New York,United States,6.61,
1756,New York,United States,9.94,
1757,New York,United States,8.89,
1758,New York,United States,8.15,
1759,New York,United States,9.01,
1760,New York,United States,7.73,
1761,New York,United States,10.18,
1762,New York,United States,9.55,
1763,New York,United States,7.23,
1764,New York,United States,9.55,8.660666667
1765,New York,United States,8.96,8.586666667
1766,New York,United States,10.09,8.54
1767,New York,United States,8.52,8.920666667
1768,New York,United States,8.67,8.864
1769,New York,United States,9.1,8.812
1770,New York,United States,9.04,8.974
1771,New York,United States,10.18,8.99
1772,New York,United States,9.64,9.04
1773,New York,United States,10.08,9.168666667
1774,New York,United States,9.52,9.202666667
1775,New York,United States,10.24,9.37
1776,New York,United States,9.13,9.3
1777,New York,United States,8.77,9.248
1778,New York,United States,6.89,9.225333333
1779,New York,United States,0.25,8.605333333
1780,New York,United States,,8.58
1781,New York,United States,9.79,8.558571429
1782,New York,United States,9.15,8.603571429
1783,New York,United States,8.81,8.613571429
1784,New York,United States,8.4,8.563571429
1785,New York,United States,8.49,8.524285714
1786,New York,United States,8.98,8.438571429
1787,New York,United States,8.97,8.390714286
1788,New York,United States,9.77,8.368571429
1789,New York,United States,9.42,8.361428571
1790,New York,United States,9.39,8.300714286
1791,New York,United States,9.37,8.317857143
1792,New York,United States,8.72,8.314285714
1793,New York,United States,9.88,8.527857143
1794,New York,United States,9.83,9.212142857
1795,New York,United States,9.21,9.212
1796,New York,United States,8.97,9.157333333
1797,New York,United States,8.85,9.137333333
1798,New York,United States,9.71,9.197333333
1799,New York,United States,9.19,9.25
1800,New York,United States,9.58,9.322666667
1801,New York,United States,10,9.390666667
1802,New York,United States,10.29,9.478666667
1803,New York,United States,10.07,9.498666667
1804,New York,United States,9.69,9.516666667
1805,New York,United States,10.43,9.586
1806,New York,United States,9.38,9.586666667
1807,New York,United States,9.17,9.616666667
1808,New York,United States,9.57,9.596
1809,New York,United States,8.87,9.532
1810,New York,United States,9.35,9.541333333
1811,New York,United States,9.43,9.572
1812,New York,United States,7.8,9.502
1813,New York,United States,8.93,9.45
1814,New York,United States,8.7,9.417333333
1815,New York,United States,8.27,9.33
1816,New York,United States,7.92,9.191333333
1817,New York,United States,7.78,9.024
1818,New York,United States,8.13,8.894666667
1819,New York,United States,9.07,8.853333333
1820,New York,United States,8.98,8.756666667
1821,New York,United States,8.53,8.7
1822,New York,United States,9.84,8.744666667
1823,New York,United States,8.64,8.682666667
1824,New York,United States,9.29,8.710666667
1825,New York,United States,10.21,8.768
1826,New York,United States,9.92,8.800666667
1827,New York,United States,9.26,8.898
1828,New York,United States,10.7,9.016
1829,New York,United States,9.17,9.047333333
1830,New York,United States,10.32,9.184
1831,New York,United States,9.07,9.260666667
1832,New York,United States,9.15,9.352
1833,New York,United States,9.15,9.42
1834,New York,United States,9.32,9.436666667
1835,New York,United States,8.48,9.403333333
1836,New York,United States,7.51,9.335333333
1837,New York,United States,8.12,9.220666667
1838,New York,United States,8.73,9.226666667
1839,New York,United States,9.17,9.218666667
1840,New York,United States,9.27,9.156
1841,New York,United States,9,9.094666667
1842,New York,United States,9.41,9.104666667
1843,New York,United States,8.49,8.957333333
1844,New York,United States,9.12,8.954
1845,New York,United States,9.49,8.898666667
1846,New York,United States,9.66,8.938
1847,New York,United States,9.3,8.948
1848,New York,United States,9.54,8.974
1849,New York,United States,8.83,8.941333333
1850,New York,United States,9.1,8.982666667
1851,New York,United States,9.26,9.099333333
1852,New York,United States,8.98,9.156666667
1853,New York,United States,9.68,9.22
1854,New York,United States,9.56,9.246
1855,New York,United States,9.11,9.235333333
1856,New York,United States,8.2,9.182
1857,New York,United States,8.52,9.122666667
1858,New York,United States,9.13,9.165333333
1859,New York,United States,9.17,9.168666667
1860,New York,United States,9.18,9.148
1861,New York,United States,9.47,9.135333333
1862,New York,United States,9,9.115333333
1863,New York,United States,9.09,9.085333333
1864,New York,United States,9.29,9.116
1865,New York,United States,9.64,9.152
1866,New York,United States,8.95,9.131333333
1867,New York,United States,8.59,9.105333333
1868,New York,United States,7.95,8.99
1869,New York,United States,8.85,8.942666667
1870,New York,United States,10.04,9.004666667
1871,New York,United States,8.94,9.054
1872,New York,United States,8.61,9.06
1873,New York,United States,8.44,9.014
1874,New York,United States,9.06,9.006666667
1875,New York,United States,7.74,8.910666667
1876,New York,United States,9.35,8.902666667
1877,New York,United States,10.15,8.979333333
1878,New York,United States,10.38,9.065333333
1879,New York,United States,9.37,9.070666667
1880,New York,United States,9.99,9.094
1881,New York,United States,9.77,9.148666667
1882,New York,United States,9.22,9.190666667
1883,New York,United States,8.59,9.233333333
1884,New York,United States,9.36,9.267333333
1885,New York,United States,8.37,9.156
1886,New York,United States,8.9,9.153333333
1887,New York,United States,9.1,9.186
1888,New York,United States,8.31,9.177333333
1889,New York,United States,9.86,9.230666667
1890,New York,United States,9.62,9.356
1891,New York,United States,10,9.399333333
1892,New York,United States,9.15,9.332666667
1893,New York,United States,8.68,9.219333333
1894,New York,United States,9.95,9.258
1895,New York,United States,9.22,9.206666667
1896,New York,United States,9.51,9.189333333
1897,New York,United States,9.63,9.216666667
1898,New York,United States,10.24,9.326666667
1899,New York,United States,9.51,9.336666667
1900,New York,United States,10.4,9.472
1901,New York,United States,9.29,9.498
1902,New York,United States,9.43,9.52
1903,New York,United States,9.32,9.587333333
1904,New York,United States,7.87,9.454666667
1905,New York,United States,9.1,9.42
1906,New York,United States,9.9,9.413333333
1907,New York,United States,8.49,9.369333333
1908,New York,United States,9.87,9.448666667
1909,New York,United States,9.51,9.419333333
1910,New York,United States,9.55,9.441333333
1911,New York,United States,9.91,9.468
1912,New York,United States,9.24,9.442
1913,New York,United States,10.76,9.476666667
1914,New York,United States,9.02,9.444
1915,New York,United States,9.85,9.407333333
1916,New York,United States,9.1,9.394666667
1917,New York,United States,8.24,9.315333333
1918,New York,United States,9.51,9.328
1919,New York,United States,10.05,9.473333333
1920,New York,United States,9.19,9.479333333
1921,New York,United States,10.91,9.546666667
1922,New York,United States,10.04,9.65
1923,New York,United States,9.51,9.626
1924,New York,United States,8.85,9.582
1925,New York,United States,9.72,9.593333333
1926,New York,United States,8.54,9.502
1927,New York,United States,9.7,9.532666667
1928,New York,United States,9.82,9.47
1929,New York,United States,9.97,9.533333333
1930,New York,United States,10.22,9.558
1931,New York,United States,11.03,9.686666667
1932,New York,United States,10.44,9.833333333
1933,New York,United States,10.18,9.878
1934,New York,United States,9.48,9.84
1935,New York,United States,9.48,9.859333333
1936,New York,United States,9.73,9.780666667
1937,New York,United States,10.16,9.788666667
1938,New York,United States,10.42,9.849333333
1939,New York,United States,10.07,9.930666667
1940,New York,United States,8.53,9.851333333
1941,New York,United States,10.19,9.961333333
1942,New York,United States,9.96,9.978666667
1943,New York,United States,9.58,9.962666667
1944,New York,United States,10.01,9.965333333
1945,New York,United States,9.94,9.946666667
1946,New York,United States,10.63,9.92
1947,New York,United States,9.91,9.884666667
1948,New York,United States,9.83,9.861333333
1949,New York,United States,11.39,9.988666667
1950,New York,United States,9.72,10.00466667
1951,New York,United States,10.27,10.04066667
1952,New York,United States,10.52,10.06466667
1953,New York,United States,11.17,10.11466667
1954,New York,United States,10.31,10.13066667
1955,New York,United States,10.39,10.25466667
1956,New York,United States,9.75,10.22533333
1957,New York,United States,10.5,10.26133333
1958,New York,United States,9.16,10.23333333
1959,New York,United States,10.77,10.284
1960,New York,United States,9.76,10.272
1961,New York,United States,10.03,10.232
1962,New York,United States,9.32,10.19266667
1963,New York,United States,9.32,10.15866667
1964,New York,United States,9.96,10.06333333
1965,New York,United States,9.63,10.05733333
1966,New York,United States,9.75,10.02266667
1967,New York,United States,9.3,9.941333333
1968,New York,United States,9.75,9.846666667
1969,New York,United States,9.76,9.81
1970,New York,United States,9.77,9.768666667
1971,New York,United States,10.01,9.786
1972,New York,United States,9.49,9.718666667
1973,New York,United States,10.96,9.838666667
1974,New York,United States,10.08,9.792666667
1975,New York,United States,10.56,9.846
1976,New York,United States,9.53,9.812666667
1977,New York,United States,9.96,9.855333333
1978,New York,United States,9.17,9.845333333
1979,New York,United States,10.02,9.849333333
1980,New York,United States,9.86,9.864666667
1981,New York,United States,9.95,9.878
1982,New York,United States,9.78,9.91
1983,New York,United States,10.51,9.960666667
1984,New York,United States,10.26,9.994
1985,New York,United States,10.26,10.02666667
1986,New York,United States,10.15,10.036
1987,New York,United States,10.32,10.09133333
1988,New York,United States,9.93,10.02266667
1989,New York,United States,9.66,9.994666667
1990,New York,United States,11.32,10.04533333
1991,New York,United States,11.36,10.16733333
1992,New York,United States,9.57,10.14133333
1993,New York,United States,10.04,10.19933333
1994,New York,United States,10,10.198
1995,New York,United States,10.24,10.22333333
1996,New York,United States,9.81,10.214
1997,New York,United States,10,10.22866667
1998,New York,United States,11.82,10.316
1999,New York,United States,11.16,10.376
2000,New York,United States,9.97,10.35666667
2001,New York,United States,10.93,10.40866667
2002,New York,United States,11.25,10.47066667
2003,New York,United States,9.84,10.46466667
2004,New York,United States,10.39,10.51333333
2005,New York,United States,10.68,10.47066667
2006,New York,United States,11.52,10.48133333
2007,New York,United States,10.63,10.552
2008,New York,United States,10.64,10.592
2009,New York,United States,10.14,10.60133333
2010,New York,United States,11.36,10.676
2011,New York,United States,11.27,10.77333333
2012,New York,United States,11.97,10.90466667
2013,New York,United States,12.16,10.92733333
